feature,xgboost,lightgbm,random_forest,logistic_regression,mutual_info,chi2,aggregate
System tools : mount and unmount filesystems (D),0.85493225,0.249999999996875,0.9206309114459493,0.8801229,0.43700907679686185,0.4162741791312362,0.626494885995409
System tools : prevent device from sleeping (D),0.46585077,0.249999999996875,0.9999999979976748,0.73634654,0.1293222552897448,0.9999999999976864,0.5969199277651162
Your messages : read SMS or MMS (D),0.5738482,0.1249999999984375,0.4507935147535513,1.0,0.25133189737044614,0.9227470145299571,0.5539534357626371
Network communication : view network state (S),0.541327,0.49999999999375,0.7457448436829555,0.7364479,0.5141486893035274,0.12607108972446868,0.5272899155167271
Your location : fine (GPS) location (D),0.55053747,0.9999999999875,0.6015470738991312,0.6088648,0.0,0.3374972492251028,0.5164077623925541
Hardware controls : control vibrator (S),0.40686768,0.1249999999984375,0.6008100142205305,0.5987407,0.8183758038176949,0.3545616911902268,0.48405931484462345
Your accounts : access other Google services (D),0.7224608,0.249999999996875,0.23182110809830495,0.8371664,0.148309242174795,0.7041558566937635,0.48231890698324986
System tools : set wallpaper (S),1.0,0.6249999999921875,0.6171977463431754,0.16354069,0.0,0.19659430170515604,0.4337221231963055
Hardware controls : record audio (D),0.43656865,0.249999999996875,0.41901477717325075,0.48594928,0.37714628534893463,0.5761856013282088,0.42414409822468985
Network communication : receive data from Internet (S),0.4370923,0.249999999996875,0.36313259501382683,0.3716372,0.6769694977790485,0.44328362306704944,0.42368586923921264
System tools : change Wi-Fi state (D),0.52482295,0.0,0.5420188270624579,0.39474568,0.0,0.9129160160362355,0.395750578528572
Storage : modify/delete USB storage contents modify/delete SD card contents (D),0.4415537,0.1249999999984375,0.7018338983063378,0.43129322,0.503454339795387,0.1220731119305659,0.3875347135416382
System tools : bluetooth administration (D),0.48254666,0.1249999999984375,0.389839023337565,0.69065094,0.0,0.6326616150109718,0.386783039268703
Phone calls : read phone state and identity (D),0.46928447,0.49999999999375,0.6652957606802035,0.5013394,0.05842318813857785,0.02495802316385007,0.36988347046647174
System tools : kill background processes (S),0.39493302,0.1249999999984375,0.37749670679052955,0.5814545,0.0,0.6901107647302674,0.36149916701408275
System tools : make application always run (D),0.39001396,0.0,0.11694624994949561,0.29617944,0.9999999902366905,0.0803463609325335,0.3139143346167664
Default : Access Email provider data (S),0.59016293,0.249999999996875,0.17318922232754227,0.4839646,0.0,0.3799246344023135,0.31287356363631696
System tools : display system-level alerts (D),0.5198193,0.1249999999984375,0.27687008756373616,0.6879412,0.0,0.23215752999151293,0.30696468839708557
System tools : format external storage (D),0.1960304,0.0,0.03176556398245431,0.66331387,0.6418654717821227,0.18808590208597648,0.28684353279250174
Your location : coarse (network-based) location (D),0.49149284,0.3749999999953125,0.4822463167523485,0.022000806,0.2084156795078396,0.13306931335245675,0.2853708256135938
System tools : change network connectivity (D),0.4065197,0.0,0.36005641684823647,0.40890294,0.0,0.5223842015162306,0.2829772120860639
Your personal information : read sensitive log data (D),0.33791232,0.0,0.2873641805214177,0.24622092,0.5070020820279666,0.2823005036469789,0.2768000006327816
Your personal information : write Browser's history and bookmarks (D),0.6210719,0.1249999999984375,0.23170193819647517,0.5489986,0.0,0.09508854249905624,0.27031015834556565
Network communication : full Internet access (D),0.34776625,0.0,0.34001523361862485,0.3131785,0.510923282026513,0.029457417625059157,0.2568901155193218
System tools : modify global system settings (D),0.41312364,0.0,0.34685210954134216,0.606704,0.16782482473983934,0.0009118526980018383,0.25590273684588816
Network communication : view Wi-Fi state (S),0.34380305,0.1249999999984375,0.4508386379818027,0.14509806,0.0,0.41730132804105796,0.24700684575410667
Your messages : send SMS-received broadcast (S),0.2867235,0.0,0.04716164399098536,0.37491935,0.4443865942348133,0.32083446839480706,0.24567092601099147
Your accounts : discover known accounts (S),0.41571996,0.0,0.3347870851471851,0.41414842,0.23248692212579136,0.05418919129040116,0.2418885958030688
Network communication : create Bluetooth connections (D),0.33167252,0.0,0.2770034210244576,0.36186445,0.006062435411546864,0.4679304542030077,0.24075554627968673
System tools : retrieve running applications (D),0.41832173,0.249999999996875,0.4228386525943398,0.19604787,0.13308154670015954,0.00921369182426458,0.23825058202115254
Your personal information : read user defined dictionary (D),0.29796538,0.0,0.05025302007090884,0.7267419,0.19318360609465915,0.1557392623206063,0.23731386267269117
Services that cost you money : directly call phone numbers (D),0.44413254,0.249999999996875,0.4067913078488193,0.15487036,0.0,0.10229623132703192,0.22634840615202276
Your personal information : write contact data (D),0.4406834,0.249999999996875,0.2683290175541693,0.25184885,0.0,0.1301966581407261,0.22350965283937038
Your accounts : view configured accounts (S),0.48746035,0.0,0.16981285040796795,0.22433427,0.05479006978299777,0.39019021633703893,0.22109795855331246
Default : power device on or off (S),0.39353845,0.0,0.14679825334611227,0.46912923,0.10079519205562278,0.2053047273908643,0.21926097542988024
System tools : automatically start at boot (S),0.3315326,0.0,0.4257723824798091,0.5370208,0.0,0.0006315814974462799,0.21582622733615467
System tools : send sticky broadcast (S),0.47351107,0.0,0.17373276390469497,0.37330326,0.024659507622915574,0.22092953670206278,0.21102269043703678
Your location : mock location sources for testing (D),0.49354336,0.249999999996875,0.14810078679761687,0.18759091,0.005232479800238758,0.18047956875428076,0.2108245173317472
Your messages : edit SMS or MMS (D),0.35381287,0.0,0.20961031769325755,0.20068407,0.0,0.49148959393399666,0.2092661425963179
Hardware controls : change your audio settings (D),0.3130875,0.0,0.2029436044511337,0.27930632,0.37311990899890185,0.04668066716318818,0.2025229993551082
Services that cost you money : send SMS messages (D),0.3744458,0.3749999999953125,0.2584276077865162,0.047351282,0.0,0.15113470038070567,0.20105989771089358
Your personal information : read contact data (D),0.33634382,0.0,0.30243067554185293,0.43865326,0.0,0.1246085528007515,0.20033938561257914
Hardware controls : take pictures and videos (D),0.4222751,0.249999999996875,0.34009419970685717,0.112094134,0.0,0.06684168949381607,0.19855085324465563
Your messages : receive SMS (D),0.34741724,0.0,0.20343128494159873,0.38408497,0.0,0.2185036964969155,0.1922395310953254
Your personal information : set alarm in alarm clock (S),0.4736471,0.0,0.0726257522966578,0.37490538,0.0,0.2212479015346191,0.1904043532116866
Default : modify secure system settings (S),0.3168231,0.0,0.12625958429849318,0.2951373,0.13049346949830953,0.253832075004969,0.18709091834520444
Your messages : Read Email attachments (D),0.46684682,0.0,0.07086949280732216,0.35058746,0.0,0.20612021004890357,0.18240399732783152
System tools : expand/collapse status bar (S),0.2787845,0.0,0.1038004352792268,0.6265839,0.0,0.0730945171934643,0.1803772233619697
Your personal information : choose widgets (S),0.27801263,0.0,0.06295628063973954,0.6853277,0.0,0.03240482218814048,0.17645024081211844
Your personal information : add or modify calendar events and send email to guests (D),0.29453817,0.0,0.09335352591503564,0.026439087,0.5719425356675796,0.048975931528824755,0.17254154177935066
System tools : read sync statistics (S),0.18382917,0.0,0.05121556295607211,0.15803133,0.5552528374597238,0.0803463609325335,0.17144587738443784
Your personal information : write to user defined dictionary (S),0.20662725,0.0,0.05425530484626142,0.581211,0.0,0.16950955815587865,0.1686005139330756
System tools : reorder running applications (D),0.24260072,0.0,0.03437617450720631,0.035267256,0.6246333519380232,0.03063078172103791,0.1612513814112746
System tools : write sync settings (D),0.37447405,0.1249999999984375,0.15637703093670716,0.0,0.0,0.3103453856888115,0.16103274420640967
Your personal information : read Browser's history and bookmarks (D),0.47186232,0.1249999999984375,0.2367412030144872,0.10034763,0.0,0.0279520735085006,0.16031720388877074
Your messages : receive WAP (D),0.3657586,0.0,0.04862877900881058,0.40237522,0.0,0.14459766609628766,0.16022671070138986
Default : change screen orientation (S),0.43243775,0.0,0.055268792776750474,0.34428492,0.0,0.08186201244425731,0.15230891247040804
System tools : read sync settings (S),0.24852215,0.0,0.1794397158987362,0.012621505,0.07466197513433384,0.3801840718229604,0.14923823592971164
Phone calls : intercept outgoing calls (D),0.4473472,0.0,0.1838176831989722,0.09170682,0.0,0.1718935640398947,0.14912754350459448
System tools : disable keylock (D),0.3003667,0.1249999999984375,0.2167343235342614,0.10656941,0.0,0.1369444738423543,0.1476024844068438
