apk_file,is_malware,dangerous_permissions,internet_permission,min_sdk_version,activities_count,services_count,receivers_count,providers_count,exported_components,intent_filters_count,uses_native_code,has_reflection,obfuscation_score
a2dp.Vol.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
ac.mdiq.podcini.X.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
ac.robinson.mediaphone.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7
acr.browser.lightning.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
ademar.bitac.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
ademar.textlauncher.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3
agersant.polaris.apk,0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
agrigolo.chubbyclick.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
agrigolo.opendrummer.apk,0,0.0,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5
ai.susi.apk,0,0.0,0.0,0.5882352941176471,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
akk.astro.droid.moonphase.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3
allen.town.focus.mastodon.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
allen.town.focus.podcast.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
alt.nainapps.aer.apk,0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
alt.nainapps.sharepaste.fdroid.apk,0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5
